hour,flow_mean_avg,occupancy_avg,voc_activity_frac
2025-07-03 13:00:00,0.7260524060170189,0.0799891310690943,0.0149325412001173
2025-07-03 14:00:00,0.2052723743581018,0.0175493865283267,0.0279176079261459
2025-07-03 16:00:00,0.2196084915820063,0.0270551320624325,0.0200466034614632
2025-07-03 17:00:00,0.2077475983775064,0.0266956993861839,0.0152706380405201
2025-07-06 11:00:00,0.201790387755178,0.0219326843929697,0.0415213039748355
2025-07-06 12:00:00,0.1855462374259978,0.0198464019894268,0.0155552393318984
2025-07-06 13:00:00,0.2036554778204014,0.0240348434023915,0.0081644995464166
2025-07-06 14:00:00,0.189902084665933,0.0210650234510331,0.010556929152066
2025-07-06 15:00:00,0.1985662614363859,0.0206124404872318,0.0143012148917625
2025-07-06 16:00:00,0.2060572613832946,0.025106656831602,0.0165559084398658
2025-07-06 17:00:00,0.2220330098949675,0.0293965371491065,0.0202333730589302
2025-07-06 18:00:00,0.2742080219949667,0.0414213575053418,0.0006759280670236
2025-07-06 19:00:00,,,0.0002846012913783
2025-07-06 20:00:00,,,0.0003201764528006
2025-07-06 21:00:00,,,0.0002223447588893
2025-07-06 22:00:00,,,0.0003736422108943
2025-07-06 23:00:00,,,0.0001334068553336
2025-07-07 00:00:00,,,0.0002045571781781
2025-07-07 01:00:00,,,0.0001334068553336
2025-07-07 02:00:00,,,0.0002757075010227
2025-07-07 03:00:00,,,8.893790355573738e-05
2025-07-07 04:00:00,,,0.0005426708301084
2025-07-07 05:00:00,,,0.0184546149878155
2025-07-07 06:00:00,0.2552089429356374,0.0359767190682699,0.0079866237393052
2025-07-07 07:00:00,0.2096073205935736,0.024922804887003,0.0275262811505007
2025-07-07 08:00:00,0.2570180055925298,0.0333752048166697,0.0172984222415909
2025-07-07 09:00:00,0.2025427069925227,0.0234716332190087,0.02340845621587
2025-07-07 10:00:00,0.1887211208387313,0.0200609596363833,0.0414120117074559
2025-07-07 11:00:00,0.2086510748856918,0.0250081564374265,0.0051583984062327
2025-07-07 12:00:00,0.1965307456233399,0.0218762583665677,0.0190771803127056
2025-07-07 13:00:00,0.1825313455796799,0.0187599147692141,0.0057631761504117
2025-07-07 14:00:00,0.2261125706136226,0.0293649628058954,0.0156797523968765
2025-07-07 15:00:00,0.2034886834400401,0.023894959477852,0.0452516053291591
2025-07-07 16:00:00,0.2018907074596262,0.0230424187882582,0.0198919996085653
2025-07-07 17:00:00,0.2183820375831643,0.0281636035947257,0.0008715914548462
2025-07-07 18:00:00,0.2646594212168739,0.0400208746693121,3.5575161422294955e-05
2025-07-07 19:00:00,,,0.0001600882264003
2025-07-07 20:00:00,,,0.0006314591152457
2025-07-07 21:00:00,,,0.0004980522599121
2025-07-07 22:00:00,,,0.0008006618804878
2025-07-07 23:00:00,,,0.0010405734716021
2025-07-08 00:00:00,,,0.0003646454045785
2025-07-08 01:00:00,,,0.0002757075010227
2025-07-08 02:00:00,,,0.0001600882264003
2025-07-08 03:00:00,,,0.0004091143563563
2025-07-08 04:00:00,,,0.0004092271833604
2025-07-08 05:00:00,,,0.0230704921823582
2025-07-08 06:00:00,0.2646618689305683,0.0379840103139382,0.0113662640744232
2025-07-08 07:00:00,0.2313344071023912,0.0300141010695063,0.0158932033654102
2025-07-08 08:00:00,0.2371061300951106,0.0296475897328881,0.0145146658602963
2025-07-08 09:00:00,0.2130281900739298,0.0258551651479317,0.0086269766449065
2025-07-08 10:00:00,0.1768209902534429,0.017076229085558,0.0192247813748254
2025-07-08 11:00:00,0.2218942986574114,0.027140999544296,0.0192550561198171
2025-07-08 13:00:00,0.2294903868837422,0.0271038078849106,0.0138654191643394
2025-07-08 14:00:00,0.1866970080487124,0.0183272741336633,0.0109126807662889
2025-07-09 12:00:00,0.3292742439934724,0.0478656546677215,0.0204112488660417
2025-07-09 13:00:00,0.1933506631434415,0.0272081263748478,0.0266102207438766
2025-07-09 14:00:00,0.2505186598098606,0.0290505582632517,0.0128782084348707
2025-07-09 15:00:00,0.2270933417986726,0.0283111800511164,0.0227769971006243
2025-07-10 13:00:00,0.167164728923437,0.0222094358065102,0.0145324534410074
2025-07-10 14:00:00,0.1522901361983586,0.0175524579985675,0.0194685070883509
2025-07-10 15:00:00,0.223861806600683,0.0277828362084537,0.0099165762464647
2025-07-10 16:00:00,0.1667934426990877,0.0134290747549019,0.0218553948832035
2025-07-11 14:00:00,0.2086314940485506,0.0287570499539594,0.0416318326544406
2025-07-11 15:00:00,0.1524560450386243,0.0176759844737086,0.0298831355947277
2025-07-11 16:00:00,0.2393975783676726,0.0320538256522314,0.0219294343718306
2025-07-11 17:00:00,0.2820664797551356,0.040508313301282,0.0012095447309207
2025-07-12 16:00:00,0.1984872625565577,0.0293775989339138,0.0309058235325516
2025-07-12 17:00:00,0.227860651910305,0.0405985243055555,0.0002223427814192
2025-07-12 18:00:00,,,0.0001956633878226
2025-07-13 13:00:00,0.2064186860772575,0.0282974425747863,0.0209982390295095
2025-07-13 14:00:00,0.1966489876834914,0.0271790270439377,0.0452693929098703
2025-07-13 15:00:00,0.2727262382963066,0.0411933131221789,0.0189170920863053
2025-07-13 16:00:00,0.2345110405035395,0.0361560524292029,0.0125971923206946
