hour,flow_mean_avg__original,flow_mean_avg__slow_trend,flow_mean_avg__diurnal,flow_mean_avg__fast_residual,occupancy_avg__original,occupancy_avg__slow_trend,occupancy_avg__diurnal,occupancy_avg__fast_residual
2025-07-03 13:00:00,0.7260524060170189,,-0.02375654941752812,,0.0799891310690943,,-0.005347064978707423,
2025-07-03 14:00:00,0.2052723743581018,,-0.004227938303870607,,0.0175493865283267,,-0.00162069623684832,
2025-07-03 15:00:00,,,0.01721732556578147,,,,0.0035515406225973766,
2025-07-03 16:00:00,0.2196084915820063,,0.06096575042754667,,0.0270551320624325,,0.014096161907152868,
2025-07-03 17:00:00,0.2077475983775064,,0.07018522329450992,,0.0266956993861839,,0.017460073923253838,
2025-07-03 18:00:00,,,0.08610175636588246,,,,0.021316204374252523,
2025-07-03 19:00:00,,,0.048221676885388025,,,,0.013416158182290966,
2025-07-03 20:00:00,,,,,,,,
2025-07-03 21:00:00,,,,,,,,
2025-07-03 22:00:00,,,,,,,,
2025-07-03 23:00:00,,,,,,,,
2025-07-04 00:00:00,,,,,,,,
2025-07-04 01:00:00,,,,,,,,
2025-07-04 02:00:00,,0.2096073205935736,,,,0.0253531317177213,,
2025-07-04 03:00:00,,0.20912919773963268,,,,0.02522989427466165,,
2025-07-04 04:00:00,,0.2086510748856918,,,,0.025106656831602,,
2025-07-04 05:00:00,,0.20912919773963268,0.03720851630221141,,,0.02522989427466165,0.008877554275645811,
2025-07-04 06:00:00,,0.2096073205935736,0.06379907884973524,,,0.0253531317177213,0.013959169481704786,
2025-07-04 07:00:00,,0.2096073205935736,0.05158916805735151,,,0.0253531317177213,0.010998768331582648,
2025-07-04 08:00:00,,0.2096073205935736,0.03251428057738486,,,0.0253531317177213,0.006621512178971146,
2025-07-04 09:00:00,,0.2096073205935736,-0.011215359814567616,,,0.0253531317177213,-0.0025114515999457737,
2025-07-04 10:00:00,,0.2096073205935736,-0.015655908346246125,,,0.0253531317177213,-0.005193766966032606,
2025-07-04 11:00:00,,0.2096073205935736,-0.021658051319174688,,,0.0253531317177213,-0.006393923602499459,
2025-07-04 12:00:00,,0.2096073205935736,-0.016719502878705713,,,0.0253531317177213,-0.005530853905197335,
