hour,flow_mean_avg,flow_mean_std,flow_mean_min,flow_mean_max,flow_var_avg,occupancy_avg,occupancy_std,occupancy_p50,occupancy_p90,n_frames_lit,dark_fraction,file_count,frac_idle,frac_active,frac_drinking,frac_feeding,frac_preening,frac_perching,frac_wing_flapping
2025-07-03 13:00:00,0.7260524060170189,1.6830163559203901,0.19162072241306305,14.269911766052246,7.200749154883523,0.0799891310690943,0.11782833979843678,0.049223090277777784,0.1324236111111112,238.0,0.0,1,,,,,,,
2025-07-03 14:00:00,0.2052723743581018,0.13408300345591773,0.13547274470329285,2.6971466541290283,0.3939451880767765,0.017549386528326747,0.0150973514181202,0.013519965277777778,0.0342560763888889,1265.0,0.0,1,,,,,,,
2025-07-03 16:00:00,0.21960849158200632,0.14911487265589518,0.1306416243314743,2.7194290161132812,0.536969844278997,0.027055132062432576,0.021145008099853122,0.023600260416666668,0.03696180555555555,1236.0,0.0,1,,,,,,,
2025-07-03 17:00:00,0.2077475983775064,0.03656490587870425,0.13668864965438843,0.34752213954925537,0.3735090018658156,0.02669569938618394,0.008403590416248628,0.026158854166666665,0.03738975694444445,267.0,0.0,1,,,,,,,
2025-07-04 14:00:00,0.26431550289631783,0.15631465584104093,0.1464928537607193,2.277553081512451,0.6625399897626372,0.03227916699239108,0.019120687400146438,0.028446180555555554,0.05424392361111111,533.0,0.0,1,,,,,,,
2025-07-04 15:00:00,0.26139807639662754,0.20297688328644575,0.14374731481075287,4.1177496910095215,0.7075535006456307,0.031159136060996562,0.026133989682917632,0.026323784722222222,0.05142491319444445,970.0,0.0,1,,,,,,,
2025-07-04 17:00:00,0.1941289110970513,0.03897929243875476,0.12227176129817963,0.3939199447631836,0.3086038461365227,0.02295862846067125,0.00933531117878024,0.02230034722222222,0.034734375,1503.0,0.0,1,,,,,,,
2025-07-05 15:00:00,0.22897689939986693,0.07927068337934011,0.1339656412601471,0.7545521855354309,0.3880694657834438,0.02535313171772135,0.019621006704859615,0.02425347222222222,0.05098003472222222,827.0,0.0,1,,,,,,,
2025-07-05 16:00:00,0.277918037946525,0.3350905696380559,0.13811494410037994,3.8550608158111572,1.155421340133198,0.029556633087040422,0.036932663651163176,0.021380208333333334,0.050304687500000014,547.0,0.0,1,,,,,,,
2025-07-05 17:00:00,0.2309046028940766,0.05264933357914921,0.1548159420490265,0.38764798641204834,0.5288595148810634,0.03113570601851852,0.011209362085236083,0.029887152777777776,0.04302170138888889,27.0,0.0,1,,,,,,,
