date,temp_am_min_c,temp_am_max_c,temp_pm_c,rh_am_pct,rh_pm_pct,source_file,day_index,temp_day_mean_c,temp_am_range_c,temp_am_pm_swing_c,rh_day_mean_pct,rh_am_pm_change_pct,temp_rate_c_per_day,rh_rate_pct_per_day,temp_roll_mean_c,rh_roll_mean_pct,temp_roll_slope_c_per_day
2025-06-05,,,30.4,,42,Room 6-Temperature and Relative Humidity June 2025.xlsx,0,30.4,,,42.0,,,,31.133333333333333,43.875,0.32666666666667105
2025-06-06,31.8,30.4,31.6,47.0,47,Room 6-Temperature and Relative Humidity June 2025.xlsx,1,31.26666666666667,-1.4000000000000021,0.5,47.0,0.0,0.8666666666666707,5.0,31.21333333333333,44.1,0.24333333333333537
2025-06-07,31.1,31.6,31.6,41.0,46,Room 6-Temperature and Relative Humidity June 2025.xlsx,2,31.433333333333337,0.5,0.25,43.5,5.0,0.16666666666666785,-3.5,31.211111111111112,44.25,0.1371428571428575
2025-06-08,31.2,31.7,31.4,45.0,41,Room 6-Temperature and Relative Humidity June 2025.xlsx,3,31.433333333333334,0.5,-0.05000000000000071,43.0,-4.0,-3.552713678800501e-15,-0.5,31.180952380952384,44.357142857142854,0.06309523809523673
2025-06-09,31.3,31.8,31.5,45.0,45,Room 6-Temperature and Relative Humidity June 2025.xlsx,4,31.53333333333333,0.5,-0.05000000000000071,45.0,0.0,0.09999999999999787,2.0,31.195238095238096,44.285714285714285,-0.12142857142857409
2025-06-10,31.7,31.2,30.7,45.0,45,Room 6-Temperature and Relative Humidity June 2025.xlsx,5,31.2,-0.5,-0.75,45.0,0.0,-0.33333333333333215,0.0,31.071428571428573,43.642857142857146,-0.19642857142857126
2025-06-11,30.6,31.7,30.7,45.0,45,Room 6-Temperature and Relative Humidity June 2025.xlsx,6,31.0,1.0999999999999979,-0.4499999999999993,45.0,0.0,-0.1999999999999993,0.0,30.880952380952383,44.07142857142857,-0.24880952380952592
2025-06-12,30.1,30.8,30.6,45.0,38,Room 6-Temperature and Relative Humidity June 2025.xlsx,7,30.5,0.6999999999999993,0.14999999999999858,41.5,-7.0,-0.5,-3.5,30.64761904761905,42.785714285714285,-0.285714285714288
2025-06-13,30.6,30.8,29.8,40.0,45,Room 6-Temperature and Relative Humidity June 2025.xlsx,8,30.400000000000002,0.1999999999999993,-0.9000000000000021,42.5,5.0,-0.09999999999999787,1.0,30.390476190476193,42.357142857142854,-0.2571428571428614
2025-06-14,29.6,30.9,29.8,48.0,45,Room 6-Temperature and Relative Humidity June 2025.xlsx,9,30.099999999999998,1.2999999999999972,-0.4499999999999993,46.5,-3.0,-0.30000000000000426,4.0,30.190476190476186,42.5,-0.20476190476190825
2025-06-15,29.7,29.9,29.8,42.0,26,Room 6-Temperature and Relative Humidity June 2025.xlsx,10,29.799999999999997,0.1999999999999993,3.552713678800501e-15,34.0,-16.0,-0.3000000000000007,-12.5,30.014285714285712,42.642857142857146,-0.13452380952381057
