time,rms_db_mean,rms_db_std,rms_db_p10,rms_db_p90,centroid_hz_mean,centroid_hz_std,centroid_hz_p10,centroid_hz_p90,rolloff_hz_mean,rolloff_hz_std,rolloff_hz_p10,rolloff_hz_p90,flatness_mean,flatness_std,flatness_p10,flatness_p90,zcr_mean,zcr_std,zcr_p10,zcr_p90,flux_mean,flux_std,flux_p10,flux_p90,mech_frac_mean,mech_frac_std,mech_frac_p10,mech_frac_p90,mid_frac_mean,mid_frac_std,mid_frac_p10,mid_frac_p90,voc_frac_mean,voc_frac_std,voc_frac_p10,voc_frac_p90,high_frac_mean,high_frac_std,high_frac_p10,high_frac_p90,ste_db_mean,ste_db_std,ste_db_p10,ste_db_p90,centroid_hz_clean_mean,centroid_hz_clean_std,centroid_hz_clean_p10,centroid_hz_clean_p90,ste_db_clean_mean,ste_db_clean_std,ste_db_clean_p10,ste_db_clean_p90,voc_activity_frac,transient_rate,n_frames,gap_hours_since_prev
2025-07-01 00:00:00,-28.29804,2.5957665,-31.580725479125977,-24.879269409179688,695.4619734133056,108.10037162816724,564.1504213872633,827.2131131871007,1540.2783189329105,331.0997816153771,1109.375,1953.125,0.0012270994,0.0007843599,0.0004885575152002276,0.0021601859480142585,0.0272083633104795,0.010130571370708623,0.015625,0.0400390625,11.493655131358393,6.327932944545324,4.9589080810546875,19.977038192749017,0.9845495,0.009845222,0.9723100423812866,0.9936869025230408,0.025936035,0.017577367,0.009158609434962273,0.04786667302250862,0.004334721,0.0053754095,0.0013949529267847538,0.008051812835037708,4.680823e-05,0.00012747961,1.5966712817316877e-05,8.229691011365503e-05,28.979174,2.5855873,25.710287475585936,32.38489990234375,789.3868348312703,109.94199339003858,657.0100229242538,921.5945475895361,27.730125456795207,2.5703616847783812,24.495020783833674,31.10121808669796,1.8228383415816768e-05,0.0,109719,
2025-07-01 01:00:00,-27.181484,2.0888844,-29.924059295654295,-24.53582878112793,671.5234070887847,90.36636798340467,561.0621395802908,784.4240396317012,1488.4092708046142,293.7505790323159,1109.375,1859.375,0.0010109639,0.0005404215,0.0004633378935977817,0.0017042954685166478,0.025681833246804935,0.00873429713989825,0.015625,0.037109375,13.241315117606577,6.55398679340357,5.963622665405273,22.349428176879883,0.98752356,0.007717254,0.9777964115142822,0.9948254942893981,0.022968652,0.014805646,0.008780647814273835,0.041608291119337074,0.0038535781,0.0033270738,0.001360122044570744,0.007094841636717318,3.513826e-05,4.28759e-05,1.4407924936676864e-05,6.113296112744137e-05,30.079802,2.0768569,27.358012771606447,32.70968246459961,766.6096708961372,94.3561816152115,650.911865000897,883.6382077935525,28.782385826100047,2.1678638314498495,25.95118174181699,31.572887521617208,0.0,0.0,112439,1.0
2025-07-01 02:00:00,-27.652803,2.1979108,-30.402538871765138,-25.149464988708495,719.8500202711928,251.7942549385613,589.8361130949704,824.4977871024239,1576.887373485832,440.17441076240385,1187.5,1906.25,0.0027909614,0.023135178,0.0005484085995703936,0.0021194391185417774,0.02974157320312083,0.03476962704402397,0.0166015625,0.0400390625,12.989210139395945,6.9110597766290125,5.94871187210083,21.596841621398926,0.9823668,0.06250761,0.975157505273819,0.9947280764579773,0.028333645,0.020392349,0.010397093836218119,0.0516593161970377,0.0068472154,0.04015906,0.0014930142788216472,0.007672609575092792,0.0011758462,0.016805395,1.7399299031239936e-05,7.987615608726629e-05,29.618704,2.180384,26.89238052368164,32.10061111450195,811.7984036795906,247.09602722485408,679.235260049363,919.032494296832,28.435640403095412,2.2732295447396487,25.633682927817016,31.071361682215976,8.893790355573739e-06,0.0,112438,1.0
2025-07-01 03:00:00,-27.441505,2.1545446,-30.27687931060791,-24.71680679321289,691.9142558238066,104.321804683424,563.195897630648,820.8515644999632,1515.8761106120708,303.60563946088405,1109.375,1890.625,0.0011573375,0.00072692,0.00047577239456586545,0.0020261059748008852,0.0268291261072769,0.009724128091757342,0.015625,0.0390625,12.90413548635884,6.337958717172182,5.939961338043213,21.727951431274416,0.9861295,0.009380087,0.9748399674892425,0.9945805966854095,0.026416788,0.018826857,0.009151230100542307,0.04939382523298264,0.0039437693,0.005118491,0.0013089896878227592,0.007338164374232293,4.3775854e-05,0.00013602451,1.5021789477032145e-05,7.5470835872693e-05,29.841492,2.139345,27.023034477233885,32.540975952148436,786.0373943447942,107.1180694133045,653.0134277788094,916.6421807557996,28.603591450799765,2.186479314672486,25.733218236038528,31.41617037453195,4.446895177786869e-05,0.0,112438,1.0
2025-07-01 04:00:00,-28.247643,1.9779496,-30.834696197509764,-25.771632957458497,763.8026141958001,142.50123067469215,630.4689195922477,898.1781001166246,1712.706391522439,401.7419225311376,1312.5,2078.125,0.0016046154,0.0012037073,0.0007213972916360944,0.0026737763546407223,0.03278226806106477,0.014277165056273569,0.01953125,0.046875,10.747085599532328,4.777472103316697,5.4271568775177,17.18316535949707,0.98296255,0.01068796,0.9699696958065033,0.9927563428878784,0.033864263,0.020894669,0.013821018300950528,0.0600432001054287,0.0063090636,0.0138364015,0.001954820309765637,0.01013750955462456,7.6319004e-05,0.00050839415,2.308652565261582e-05,0.00010252860301989131,29.064568,1.9734365,26.479968452453612,31.531630325317384,867.4249563033791,149.2497901570673,729.9199763332463,1003.2734530406881,27.661244363897683,1.9903154470390847,25.074816762234953,30.205245901426988,0.0002934950817339334,0.0,112438,1.0
2025-07-01 05:00:00,-27.808672,2.3170521,-30.52035617828369,-25.243350982666016,1340.0236557827152,517.1793588240724,802.1042386954715,1980.1041343310421,3088.0843776125507,1027.8186406011712,1796.875,4265.625,0.0108267,0.028661175,0.0015927025699056685,0.019996725395321848,0.0745998888693102,0.06386630681036912,0.02734375,0.138671875,12.147884398413076,6.691868675628048,6.061890649795532,19.04978199005127,0.97160983,0.07587504,0.9590661466121674,0.9911627888679504,0.043693304,0.037828565,0.01519039385020733,0.08083509728312492,0.04655301,0.09500234,0.0035819600336253646,0.11277227476239207,0.0033861718,0.021097606,6.364813161781059e-05,0.004569510696455841,29.503998,2.3095362,26.792217254638672,32.06368751525879,1480.2119915288117,525.3856880692879,916.6634688361247,2144.4114692347675,28.15285993008676,2.3745647051860934,25.449155348064455,30.73744004944181,0.012913783596293069,8.893790355573738e-05,112438,1.0
2025-07-01 06:00:00,-28.076227,2.0161285,-30.671371459960938,-25.550765991210938,1033.21291236428,376.4108009500433,697.3504985795596,1536.344458270065,2402.411514954718,862.36587755536,1531.25,3750.0,0.0038464859,0.0047232443,0.001032349478919059,0.007720251567661762,0.05334376438702115,0.04341578924170417,0.0224609375,0.0986328125,11.60015340579896,5.330258298505729,5.7530248165130615,18.620293617248535,0.97852194,0.015466122,0.9616405665874481,0.9913688004016876,0.03615107,0.026872177,0.013914909213781357,0.06442973390221596,0.02729788,0.06982489,0.0025417243596166372,0.057811301201581955,0.0005339967,0.0024104111,3.6251096389605664e-05,0.0009742792462930083,29.24938,2.0131142,26.6533784866333,31.76429843902588,1159.2667697162576,392.2011863103248,803.9884153049584,1693.0534918696621,27.80176303435471,2.042705836336198,25.213204068772818,30.38219914626444,0.009456790562781345,0.0,112406,1.0
2025-07-01 07:00:00,-26.858406,2.3762379,-29.835941314697266,-23.93338966369629,1203.437228271393,521.4840920142706,691.236691813268,1952.167254178736,2785.3576439224826,1051.9488761404236,1515.625,4093.75,0.0054955645,0.01358843,0.0009433946339413524,0.011338933557271957,0.06645304620727684,0.05890207470780871,0.021484375,0.1416015625,14.429873289260398,7.881352259147608,6.603954792022705,24.171468353271486,0.9806522,0.03635493,0.9669003844261169,0.9933488965034485,0.026515244,0.026793484,0.008071546815335753,0.04993959367275236,0.045799535,0.09655144,0.002364193601533771,0.12277439236640929,0.0012291884,0.009355663,3.291268949396909e-05,0.0021283806301653383,30.438751,2.376831,27.47122917175293,33.338782501220706,1338.3096093192148,539.5553413451258,797.3747657944905,2121.488034218315,29.166029384994548,2.476985157291557,26.08385734665045,32.23585058530233,0.014692410996184598,8.893711256770337e-05,112439,1.0
2025-07-01 08:00:00,-27.667809,2.082034,-30.331309127807618,-25.142072677612305,977.4569189026673,428.6364556847568,628.4215713546572,1559.1850946474317,2288.3015250627013,944.9558367363658,1343.75,3796.875,0.0033349078,0.012323487,0.0007322181947529316,0.0061080318875610835,0.04965221631866006,0.04756417238685818,0.01953125,0.0986328125,13.111498988815088,6.544181238004738,6.083517026901245,21.63289794921875,0.98275423,0.033799723,0.9710768282413482,0.993712204694748,0.02461689,0.021831952,0.009460261464118958,0.04315954186022282,0.027891813,0.07501112,0.00205977859441191,0.061292096972465515,0.00065719977,0.0093769375,2.3476567002944647e-05,0.000543553975876421,29.610327,2.0707247,26.97024040222168,32.11713790893555,1095.0592104522993,445.61305221955894,724.4287330561566,1714.4573971210525,28.32287814516058,2.172860322053964,25.575035622965867,30.99586037782233,0.009107241324107508,5.336274213344243e-05,112438,1.0
2025-07-01 09:00:00,-28.818602,2.4988036,-31.95034465789795,-25.64314994812012,1065.0265440640405,432.9455299358916,671.9270257924331,1676.572495817168,2504.5126258471337,998.3789950037811,1468.75,3937.5,0.004392449,0.006568235,0.0008792691747657955,0.009413277450948953,0.05525005829601647,0.046270911446191054,0.0224609375,0.1064453125,10.828427193025682,5.336049850394931,5.0765571117401125,17.96304569244385,0.9796903,0.014844652,0.9639627158641815,0.9919843792915344,0.03079574,0.025460051,0.010549653973430396,0.05607704445719719,0.029796474,0.071157865,0.002482367306947708,0.06826388537883758,0.0008938674,0.0043720477,2.9290157726791225e-05,0.0018222467973828317,28.453081,2.4838731,25.337227058410644,31.606726837158202,1174.9997195797487,451.77036361096964,759.9501261341769,1822.5450560315574,27.39162535204101,2.5868675890457804,24.198562925049806,30.681565436181785,0.009649762535797506,3.5575161422294955e-05,112438,1.0
2025-07-01 10:00:00,-26.697056,2.9002578,-30.684186744689942,-23.029919052124022,1078.3207421126338,484.23390967846683,603.7795207173017,1778.4399629241575,2485.629441336559,1097.8337252814829,1156.25,4000.0,0.0038812144,0.006012726,0.0005041230819188058,0.009042118769139051,0.05810557297410573,0.05321139160275208,0.0224609375,0.1220703125,10.293497141724115,5.104482008016523,5.160700035095215,16.396556663513184,0.98123044,0.016405964,0.9659572899341583,0.9919277608394623,0.022741633,0.026798312,0.007522075390443206,0.04364283718168736,0.035659943,0.08522421,0.0014646593830548228,0.09138234555721286,0.0006832027,0.0031685461,1.557578088977607e-05,0.0013418160262517634,30.545105,2.8886864,26.58175163269043,34.1947078704834,1157.2958385441304,502.51051753542833,653.726522461511,1887.465822229383,30.02134805454587,3.0591125899796756,25.770339357996807,33.8784465783343,0.013518561340472083,4.446895177786869e-05,112438,1.0
2025-07-01 11:00:00,-25.065521,1.931597,-27.444678688049315,-22.682328033447266,845.3378130418556,373.4109546822838,539.3649840578998,1339.9062208388566,1940.107687125349,991.1808725916761,1000.0,3640.625,0.0017079556,0.0028912171,0.0003882632357999682,0.003508673142641783,0.03793485597340312,0.032157484500988286,0.0185546875,0.0654296875,11.166431175656083,5.46534964673109,5.3028281211853034,18.48862648010254,0.98543864,0.009216631,0.9770539402961731,0.9920825123786926,0.015413703,0.01307873,0.006161138694733382,0.02712891791015864,0.014254622,0.04535899,0.0011300070676952601,0.026587709784507755,0.00027081472,0.0015325989,1.1633737267402467e-05,0.00044662441941909517,32.165615,1.9273916,29.79359016418457,34.55021171569824,915.0725936503703,388.98777403024576,593.7091224082885,1439.6453287047145,31.663575194188024,1.9842068738027439,29.159653751944152,34.047981987228276,0.0033529589640512994,0.0,112438,1.0
2025-07-01 12:00:00,-23.341007,3.9610457,-28.99575901031494,-18.65929126739502,851.3885046750842,413.81599076803184,473.8178309270062,1415.1744024708391,1960.645867435902,1142.9429159476717,718.75,3781.25,0.0018118293,0.0035049734,0.00024920349824242294,0.003865504404529929,0.03974016692280661,0.035237775323046235,0.0185546875,0.0732421875,13.831313656970105,6.754953847497338,5.983652591705322,22.849864959716797,0.98380345,0.010606289,0.9742757678031921,0.9916977882385254,0.013029411,0.014058197,0.0034085046499967575,0.02747614122927189,0.016035175,0.04979641,0.0007275815296452492,0.0321952011436224,0.00030584665,0.0014779122,7.463047722922056e-06,0.0005007850122638047,33.889637,3.947629,28.251527786254883,38.5551643371582,924.2754160681295,434.0682603539904,520.0958240415532,1521.6487013330648,33.347188653657135,4.149855406003949,27.447323462717158,38.28717078392303,0.004056722950732167,0.0,112406,1.0
2025-07-01 13:00:00,-26.979723,2.4909322,-29.88834457397461,-23.645204162597654,1152.602202686263,438.05716009151917,692.2611450355298,1732.635365686281,2814.952248776816,1092.0997576103769,1515.625,4109.375,0.0043507195,0.005749895,0.0008602013695053756,0.009077005647122861,0.05455555196179902,0.04187445193546676,0.021484375,0.1005859375,10.424833244159341,5.089066639506333,4.909504795074463,16.893261337280276,0.9838802,0.010759624,0.9734189867973327,0.9923394441604614,0.023545073,0.020951567,0.007302101328969002,0.044371128082275405,0.0257489,0.05965395,0.0023988503497093918,0.05778113529086114,0.0012687459,0.0039246986,3.4016367135336625e-05,0.0030221121851354837,30.261953,2.4859095,27.3810791015625,33.58863830566406,1257.58196773099,455.47018038752947,770.6289290895172,1863.40792718731,29.541126831916973,2.5569334762429112,26.610644714371166,32.91815163840933,0.005269100489273617,0.0,2657,1.0
2025-07-02 01:00:00,-25.103369,3.1621652,-29.005413818359376,-20.602705001831055,583.6052955626894,108.99222499194491,449.2495963111931,723.1430666770003,1184.0821468911115,391.7400524407376,671.875,1671.875,0.00063793326,0.00043964892,0.0002246455507702194,0.0011576449382118882,0.023903693797708184,0.007140069256405679,0.0166015625,0.033203125,12.219294744684063,6.142421243232856,5.2703550338745115,20.668402481079106,0.98784983,0.005814309,0.9804683208465577,0.9936902403831482,0.014748589,0.01075327,0.004550982918590307,0.028349847905337816,0.0025302279,0.0033270966,0.0006662672618404031,0.004937303951010109,2.422028e-05,8.87936e-05,7.316892879316583e-06,4.251516002113932e-05,32.13601,3.1516302,28.245249938964843,36.61950798034668,642.3150117087479,118.93257101035591,492.38573676184114,793.7593610995098,31.521979062509768,3.27098366211888,27.519758737788198,36.19946252864533,1.8217922792443206e-05,0.0,109782,12.0
2025-07-02 02:00:00,-25.378838,2.286358,-28.115069961547853,-22.097276878356933,615.0394434489448,91.44885007364829,502.27390371010193,721.9905910815918,1251.411750253473,344.93772142306034,796.875,1656.25,0.00068355486,0.00037476153,0.0002909081376856193,0.0010954911122098565,0.02612034139092211,0.006000472408267303,0.0205078125,0.033203125,9.986184038903692,4.369545154330058,4.989919662475586,15.788426208496096,0.9890565,0.004427533,0.9834837794303894,0.9934831917285919,0.0143404715,0.008274242,0.005916655296459794,0.02469328697770834,0.0026562724,0.0035978495,0.0008135434065479786,0.0048039620742201805,2.5655152e-05,5.944382e-05,9.08465581233031e-06,4.1298123323940676e-05,31.850225,2.2774954,29.128587913513183,35.121151733398435,666.0724391203642,98.5021795122509,542.0236267332747,780.9886118070182,31.413991928909,2.396804680907088,28.542184797567362,34.860923889168845,1.7787580711147478e-05,0.0,112438,1.0
2025-07-02 03:00:00,-24.442747,1.4926666,-26.21490345001221,-22.555441665649415,584.2578101488994,95.72337795507357,500.0487993525137,667.9661851300815,1106.6786529020437,329.3025941462959,781.25,1468.75,0.00049679494,0.00045871444,0.00028098660695832225,0.0007305024948436767,0.024083420209915687,0.005416461463911064,0.0205078125,0.0283203125,9.611864706104543,4.002511829679846,5.030670118331909,14.854970932006836,0.99157405,0.0027799797,0.9883069396018982,0.9944346249103546,0.009892501,0.0047877836,0.0054137711878865956,0.015367148444056511,0.0018463384,0.005876961,0.0007092346088029445,0.0027863074792549023,2.2668308e-05,0.00018090926,8.319933112943544e-06,2.7870263329532464e-05,32.776745,1.4878567,31.01140365600586,34.66041030883789,628.9008844044683,99.98823518082207,540.9873846608377,716.9132585620663,32.46615827817637,1.546346065502452,30.63481984685233,34.40994285478882,5.336274213344243e-05,0.0,112438,1.0
