folder,session_index,n_files,n_readable,unique_creation_time,bug_pattern_holds,chapter_start_monotonic,duplicate_chapter_starts,n_irregular_gaps_over_90min,max_gap_min,session_start,session_end,anomaly
"Room 6 (10, 11, 12, 13 Aug)",1,90,90,1,True,True,False,0,50.18444556666667,2025-08-10 12:30:17.934267,2025-08-13 14:56:37.867533,False
"Room 6 (13, 14, 15 Aug)",1,40,40,1,True,True,False,0,50.18444556666667,2025-08-13 16:14:08.400400,2025-08-15 00:51:17.734067,False
"Room 6 (16, 17 Aug)",1,40,40,1,True,True,False,0,50.18444556666667,2025-08-16 06:00:04.000000,2025-08-17 14:37:13.400400,False
"Room 6 (17, 18, 19 Aug)",1,54,54,1,True,True,False,0,50.18444556666667,2025-08-17 15:27:12.000000,2025-08-19 11:46:55.467133,False
"Room 6 (19, 20, 21 Aug)",1,50,50,1,True,True,False,2,752.75332,2025-08-19 13:01:45.200200,2025-08-21 11:53:05.867533,True
"Room 6 (23, 24, 25 Aug)",1,69,69,1,True,True,False,0,50.18444556666667,2025-08-23 06:00:04.066733,2025-08-25 14:52:32.734067,False
"Room 6 (25, 26, 27 Aug)",1,56,56,1,True,True,False,0,50.18444556666667,2025-08-25 16:11:59.400400,2025-08-27 14:12:05.000000,False
Room 6 (27 - 31 July),1,115,115,1,True,True,False,32,842.0166666666667,2025-07-27 12:28:34.300300,2025-08-15 22:26:33.300300,True
"Room 6 (27, 28, 29 Aug)",1,55,55,1,True,True,False,0,50.18444556666667,2025-08-27 15:26:23.734067,2025-08-29 12:36:18.266933,False
"Room 6 (29, 30 Aug)",1,40,40,1,True,True,False,0,50.18444556666667,2025-08-29 13:50:50.233567,2025-08-30 22:27:59.633967,False
"Room 6 (3, 4, 5 Aug)",1,59,59,1,True,True,False,0,50.18444556666667,2025-08-03 12:17:31.266933,2025-08-05 12:48:09.867533,False
"Room 6 (31 Aug, 1 Sep)",1,46,46,1,True,True,False,0,50.18444556666667,2025-08-29 23:18:10.700700,2025-08-31 12:56:26.166833,False
Room 6 (31 July - 3 Aug),1,85,85,1,True,True,False,0,50.18444556666667,2025-07-31 13:21:42.266933,2025-08-03 11:37:07.200200,False
"Room 6 (5, 6, 7 July)",1,57,57,1,True,True,False,0,50.18444556666667,2025-08-05 13:28:58.967633,2025-08-07 12:19:15.567233,False
"Room 6 (7, 8, 9, 10 Aug)",1,84,84,1,True,True,False,0,50.18444556666667,2025-08-07 13:36:46.166833,2025-08-10 11:01:59.967633,False
"Room 6 - 10, 11, 12, 13 July",1,1,1,1,True,True,False,0,,2025-07-10 13:05:39.000000,2025-07-10 13:05:39.000000,False
"Room 6 - 10, 11, 12, 13 July",2,1,1,1,True,True,False,0,,2025-07-10 13:14:23.200200,2025-07-10 13:14:23.200200,False
"Room 6 - 10, 11, 12, 13 July",3,1,1,1,True,True,False,0,,2025-07-10 13:55:50.000000,2025-07-10 13:55:50.000000,False
"Room 6 - 10, 11, 12, 13 July",4,1,1,1,True,True,False,0,,2025-07-10 14:04:34.200200,2025-07-10 14:04:34.200200,False
"Room 6 - 10, 11, 12, 13 July",5,1,1,1,True,True,False,0,,2025-07-10 14:46:01.066733,2025-07-10 14:46:01.066733,False
"Room 6 - 10, 11, 12, 13 July",6,1,1,1,True,True,False,0,,2025-07-10 14:54:45.200200,2025-07-10 14:54:45.200200,False
"Room 6 - 10, 11, 12, 13 July",7,1,1,1,True,True,False,0,,2025-07-10 15:36:12.066733,2025-07-10 15:36:12.066733,False
"Room 6 - 10, 11, 12, 13 July",8,1,1,1,True,True,False,0,,2025-07-10 15:44:56.200200,2025-07-10 15:44:56.200200,False
"Room 6 - 10, 11, 12, 13 July",9,1,1,1,True,True,False,0,,2025-07-10 16:26:23.066733,2025-07-10 16:26:23.066733,False
"Room 6 - 10, 11, 12, 13 July",10,1,1,1,True,True,False,0,,2025-07-10 16:35:07.266933,2025-07-10 16:35:07.266933,False
"Room 6 - 10, 11, 12, 13 July",11,1,1,1,True,True,False,0,,2025-07-10 17:16:34.066733,2025-07-10 17:16:34.066733,False
"Room 6 - 10, 11, 12, 13 July",12,1,1,1,True,True,False,0,,2025-07-10 17:25:18.266933,2025-07-10 17:25:18.266933,False
"Room 6 - 10, 11, 12, 13 July",13,1,1,1,True,True,False,0,,2025-07-10 18:06:45.066733,2025-07-10 18:06:45.066733,False
"Room 6 - 10, 11, 12, 13 July",14,1,1,1,True,True,False,0,,2025-07-10 18:15:29.266933,2025-07-10 18:15:29.266933,False
"Room 6 - 10, 11, 12, 13 July",15,1,1,1,True,True,False,0,,2025-07-10 18:56:56.066733,2025-07-10 18:56:56.066733,False
"Room 6 - 10, 11, 12, 13 July",16,1,1,1,True,True,False,0,,2025-07-10 19:05:40.266933,2025-07-10 19:05:40.266933,False
"Room 6 - 10, 11, 12, 13 July",17,1,1,1,True,True,False,0,,2025-07-10 19:47:07.133467,2025-07-10 19:47:07.133467,False
"Room 6 - 10, 11, 12, 13 July",18,1,1,1,True,True,False,0,,2025-07-10 19:55:51.266933,2025-07-10 19:55:51.266933,False
"Room 6 - 10, 11, 12, 13 July",19,1,1,1,True,True,False,0,,2025-07-10 20:37:18.133467,2025-07-10 20:37:18.133467,False
"Room 6 - 10, 11, 12, 13 July",20,1,1,1,True,True,False,0,,2025-07-10 20:46:02.333667,2025-07-10 20:46:02.333667,False
"Room 6 - 10, 11, 12, 13 July",21,1,1,1,True,True,False,0,,2025-07-10 21:27:29.133467,2025-07-10 21:27:29.133467,False
"Room 6 - 10, 11, 12, 13 July",22,1,1,1,True,True,False,0,,2025-07-10 21:36:13.333667,2025-07-10 21:36:13.333667,False
"Room 6 - 10, 11, 12, 13 July",23,1,1,1,True,True,False,0,,2025-07-10 22:17:40.133467,2025-07-10 22:17:40.133467,False
"Room 6 - 10, 11, 12, 13 July",24,1,1,1,True,True,False,0,,2025-07-10 22:26:24.333667,2025-07-10 22:26:24.333667,False
