time,n_frames,mel00_mean,mel01_mean,mel02_mean,mel03_mean,mel04_mean,mel05_mean,mel06_mean,mel07_mean,mel08_mean,mel09_mean,mel10_mean,mel11_mean,mel12_mean,mel13_mean,mel14_mean,mel15_mean,mel16_mean,mel17_mean,mel18_mean,mel19_mean,mel20_mean,mel21_mean,mel22_mean,mel23_mean,mel24_mean,mel25_mean,mel26_mean,mel27_mean,mel28_mean,mel29_mean,mel30_mean,mel31_mean,mel32_mean,mel33_mean,mel34_mean,mel35_mean,mel36_mean,mel37_mean,mel38_mean,mel39_mean,mel40_mean,mel41_mean,mel42_mean,mel43_mean,mel44_mean,mel45_mean,mel46_mean,mel47_mean,mel48_mean,mel49_mean,mel50_mean,mel51_mean,mel52_mean,mel53_mean,mel54_mean,mel55_mean,mel56_mean,mel57_mean,mel58_mean,mel59_mean,mel60_mean,mel61_mean,mel62_mean,mel63_mean,mel00_std,mel01_std,mel02_std,mel03_std,mel04_std,mel05_std,mel06_std,mel07_std,mel08_std,mel09_std,mel10_std,mel11_std,mel12_std,mel13_std,mel14_std,mel15_std,mel16_std,mel17_std,mel18_std,mel19_std,mel20_std,mel21_std,mel22_std,mel23_std,mel24_std,mel25_std,mel26_std,mel27_std,mel28_std,mel29_std,mel30_std,mel31_std,mel32_std,mel33_std,mel34_std,mel35_std,mel36_std,mel37_std,mel38_std,mel39_std,mel40_std,mel41_std,mel42_std,mel43_std,mel44_std,mel45_std,mel46_std,mel47_std,mel48_std,mel49_std,mel50_std,mel51_std,mel52_std,mel53_std,mel54_std,mel55_std,mel56_std,mel57_std,mel58_std,mel59_std,mel60_std,mel61_std,mel62_std,mel63_std,gap_hours_since_prev
2025-06-05 13:00:00,751,-91.71964775039734,-91.98763508295092,-91.8190309864862,-91.64413521864442,-91.56550328931542,-91.56550698591454,-91.60962251721622,-91.58665769300194,-91.62171050426011,-91.44278221917692,-91.23831633657971,-91.61213305786985,-91.66177715601204,-91.742113156579,-91.76569248483915,-91.75975888515121,-91.72997033897633,-91.73851711359545,-91.66664808250458,-91.77436720801099,-91.61304575593748,-91.55917825711552,-91.63740259670863,-91.6037382120775,-91.71953528032164,-91.73606807160155,-91.6385709645745,-91.63150066573833,-91.69904825690583,-91.61707308574935,-91.72529926757203,-91.62753063384766,-91.62379365786414,-91.66643471343222,-91.75088176524115,-91.51605384613322,-91.66641020997069,-91.63438438892999,-91.65682225157514,-91.64444219637488,-91.6880548365424,-91.76661651524977,-91.642172958181,-91.60107849822063,-91.63165830899173,-91.72291710595792,-91.64118130197538,-91.63411280381854,-91.66623339672063,-91.59643650308907,-91.57899048293478,-91.65597126169624,-91.64579095218217,-91.669036669674,-91.643049073759,-91.64412329073117,-91.59838130534409,-91.63044179898604,-91.6291032199377,-91.62317650994353,-91.65105484074823,-91.64144992193432,-91.68850566670993,-92.90972122974624,16.38637935636659,16.479404452568915,16.642794588735292,16.78474213712209,16.815203413008426,16.752966967840923,17.001499585970294,17.091426296461705,17.009087827172607,17.024403153161018,17.007867296781942,16.99555537501048,16.798113232800898,16.719811027851787,16.738343471127717,16.89755036043711,16.68581622458752,16.584568174203614,16.730261889340113,16.801472991770126,16.780573288612427,16.831600493597158,16.877744350304358,16.816985976147592,16.838494021865834,16.861011632971582,16.96797259828839,17.018599454048996,16.70069911097941,16.762824293092276,16.79987859845475,16.934759978214075,16.92719598584478,16.85968924455229,16.856639004336632,16.894565240904907,16.885636530356997,16.979581302392262,17.052235343321243,17.005042437312486,16.894360898571545,16.745997482713072,16.91712334879625,16.83239650827745,16.88026157879492,16.899656786072807,16.980726500267,16.983722574480204,16.994364617276197,17.108209682080478,17.121683518601753,17.04410988465941,16.85281141404262,16.893093942325795,17.027490354233525,16.93094074321602,17.0562506635683,17.07883480866293,17.039566791478435,17.118382150532373,17.050395627459174,16.982046580391117,17.03035293248249,16.651271908569143,
2025-06-06 10:00:00,30407,-29.41814543890608,-25.061899949993652,-26.747576005815418,-26.81841673585699,-29.853268107704345,-26.51743017948536,-33.64650506214972,-38.65351485271418,-40.70345882410777,-42.904119199641414,-43.125041914531344,-43.68992649942179,-41.04599463799315,-42.65535253006392,-44.31070797834191,-44.921543475059146,-46.542342829534526,-46.6175119480778,-47.7059449220545,-50.097187085871,-50.78513695787771,-51.26896126583068,-51.186395166603944,-51.3420904323272,-49.74885925954334,-49.007086351276186,-50.13020676593785,-52.16087327272775,-52.57656873491361,-52.071877957708146,-52.4837168473452,-52.377989370800876,-52.89208798599905,-52.955327928706026,-52.91537362355343,-52.927446288562564,-52.970597018452864,-52.97930257029584,-53.000739358838686,-53.026886266826914,-53.04043272023262,-53.04661470389936,-53.081365218811605,-53.103316742708884,-53.09974213636321,-53.02666896885681,-52.81247786677068,-52.633399282317384,-52.26928548147643,-52.038304944680874,-52.19330619370788,-52.51251593968122,-52.80102754678142,-53.00114907809716,-53.14469537745335,-53.20528073608336,-53.229189221287456,-53.24593755472579,-53.27495021608677,-53.28360827195671,-53.286584071791246,-53.28763030203954,-53.290748144492206,-53.299542842976265,3.8240588090709386,3.787468756177481,3.4308629770092653,3.421130420645609,3.053651052577471,4.368574907454006,3.4707474710398327,3.5644741856660898,3.7881934321746593,3.765814446479404,3.9325110669748997,3.860018704129356,3.7215749873951793,3.5993822404296667,3.4002354336232576,3.5166587559301203,3.3788651609665026,3.322981873845329,3.414951030917681,3.055206111021884,3.2068234775007274,3.218193732830772,3.366442382369606,3.5109319270704216,3.6971906806541215,3.8224073866798176,3.7361122643995675,3.374378300678467,2.895449050974088,2.9665929469549863,2.78742930640547,2.803223328191857,2.6474607615548322,2.505703298709395,2.6592493392741487,2.6173658639227297,2.4304885855715708,2.377476260379113,2.298340758092722,2.2016010456130326,2.116489745635278,2.007846199776296,1.7615451148116232,1.5923583399984989,1.5666342585255602,1.8006623763480347,2.2185671808254637,2.459163744750793,3.0401933461084463,3.6425395152533366,3.6320425423337515,2.928060998544688,2.254182463494065,1.7225164411971468,1.3521856411893836,1.1489152887274263,1.0582400109618355,0.9441027262289583,0.78081412609557,0.71390242018763,0.6967061738627226,0.7077571110840853,0.6789192792187649,0.5366711612200993,21.0
2025-06-06 11:00:00,112500,-29.507560447951754,-25.97458853046639,-25.96268845083048,-25.891238880261778,-30.19680901926226,-30.26538684971465,-36.0153514440065,-39.12262097257753,-40.75700144765324,-41.960674813427396,-42.42058312132094,-44.04819024143643,-41.58851231641134,-43.45535747978952,-45.12988169830322,-45.71093680495368,-47.16399805668205,-47.30202791806539,-48.734065261126624,-51.19100072912018,-51.486171986995274,-51.5874726381482,-51.229656837916174,-50.88257601429687,-50.388967014539375,-49.42101047346433,-51.36976655773905,-52.693869856463536,-52.83198931806352,-52.555945447651546,-52.72729340100182,-52.71327746292114,-53.04868333920797,-53.095723169615006,-53.07650117925856,-53.08981996657477,-53.11121606000688,-53.123022183028326,-53.12580943789164,-53.14672884233263,-53.14031442103916,-53.11701813296,-53.14861821994358,-53.17882946774801,-53.17055042374505,-53.18733316482544,-53.1387004874844,-53.03002765849643,-52.751195832824706,-52.525822715055675,-52.612685767033895,-52.858280993270874,-53.009727069676714,-53.11548032124837,-53.19552140743679,-53.23705202870687,-53.258627808261444,-53.27374837750753,-53.28718802387662,-53.29281145945231,-53.296290036773684,-53.29849954852634,-53.30153766705831,-53.31001230846829,3.395681367557713,3.5645351960851044,3.997093732557686,4.3269977038968355,2.8464147171723804,3.630855868992017,3.3652286442190187,3.3614519606319306,3.294035282984802,3.2238824863321582,3.4928979215374607,3.4797137148028083,3.587398921367219,3.428281076112815,3.200433062270755,3.2459053781512393,3.1580355194176573,3.2331448379553422,3.2559143932317762,2.5626230513625345,2.6927898078387815,2.7822421608269923,3.0035070518367544,3.2725647294680016,3.204656091164016,3.417763238057621,3.0038240957988314,2.5467545379293477,2.1719571331250958,2.218145678711248,2.1691626936568706,2.1997968671053516,1.9742877827573322,1.7788984692013288,1.9009701492049706,1.8024175089576202,1.7103045700045718,1.620553769397741,1.6153405116041382,1.4846556605892398,1.5380361148403647,1.8448698691428074,1.6204519884869872,1.1796266715120514,1.1603494525285754,1.1119740247151755,1.2445920568685527,1.5060603410768758,2.1951501403523976,2.8526801136002304,2.8336820713883517,2.1629675629071596,1.7353787009290906,1.4078990657046218,1.1380589559352008,0.9906587631559771,0.8766280498628796,0.7831079112067948,0.6690036846869459,0.613794413428024,0.5805294160775534,0.5512927651542829,0.5153111801556927,0.3703151886676236,1.0
2025-06-06 12:00:00,112468,-29.813984488832087,-27.112723737894676,-25.872482366029715,-26.189886603894873,-29.992315647073553,-30.548831649409482,-35.77696224240391,-39.400739458642875,-40.65524576777614,-41.680092884889895,-42.36718173774423,-44.19558351274006,-41.591142433188345,-43.69874513680503,-45.29099876821204,-45.69380140630179,-46.841754152683485,-46.99826690630616,-49.403827271446396,-52.267430845897536,-52.46815904930102,-52.56103763179411,-52.427043165460006,-52.896655922174816,-51.34379426355352,-49.77072818736227,-52.44253535188779,-55.59411411357985,-55.78125918477537,-54.5330889117401,-54.832319657095475,-55.44742669766491,-58.73407827534631,-60.58583335813377,-59.15151262393559,-58.189532146805924,-59.07434323643215,-60.19897332123462,-60.22469037787548,-61.95137361179914,-61.86971780913532,-59.486888246193345,-60.885788092264036,-61.17242151495191,-61.54638702246086,-63.62059646430851,-66.2200170470729,-67.16639539598677,-67.20703468456053,-63.15599340018326,-63.897337464234454,-67.67111511456363,-70.46440521342939,-73.04509577276477,-74.86397033932157,-76.2205861407357,-76.48160193967638,-77.54906928219174,-78.27364593154739,-78.58814130743669,-79.42680827139213,-80.7170150650469,-82.17142274916738,-84.2711428891469,3.4241748245878827,3.322144979328873,4.088421436842214,4.441658827784449,2.980994384034612,3.3315069396884636,2.9715015674209324,2.990186535241244,2.943467597925387,2.8879903848323263,3.272248854666037,2.866538698930997,3.2294920225962316,3.116506878730947,3.0060545987802323,3.3041103745692517,3.2353215902270223,3.263233729401989,3.191362279683546,2.7433609730481994,2.9378153234579023,2.8896392423688892,2.895824027085413,2.9725857860028624,2.8178574453908594,3.138066609326653,2.704824428067352,2.7123890352893545,2.789011731737144,2.6223445157052354,2.550539686450863,2.6951160491934525,2.9771355110799,3.4114422414509904,3.093350344157569,2.903841429070863,3.0189934676967978,3.242209376414357,3.33066554000373,3.715217577671762,3.740988075228251,3.345625932954237,3.9792748348793934,4.782023035387849,5.5904731249353965,6.886444499254226,8.306630175781441,8.765632121988766,8.31609004301116,6.130136947809675,5.811004741063468,7.046609837415489,8.039291724883903,8.786527671333193,9.07196976365213,9.116694028122188,8.83951335005219,8.95496751365972,9.075504598972271,9.188490627523345,9.527891842707026,9.98297697359833,10.432918770162612,11.092281373821308,1.0
2025-06-06 13:00:00,112501,-29.57269794478251,-26.57345916167777,-23.414841374768496,-22.621089460716227,-29.861562936704697,-31.477988392019007,-36.640268145719645,-39.112599885393465,-41.053318869977424,-42.76441402777605,-42.733391200134186,-44.59378757251826,-41.55750700335639,-43.235699516102635,-45.40132585499522,-45.51528260417538,-46.98881513104066,-47.48717854719601,-49.45104579668005,-52.338763639632994,-52.85032887506739,-52.81441042823597,-52.25005016723121,-53.20305534716319,-51.293132377119484,-49.9408922400833,-52.21979287172504,-55.29121344838941,-55.8100005358283,-54.344911841004446,-54.724126860266395,-55.323994708242836,-59.00632463663854,-61.24422056467842,-59.697989069225855,-58.90028378641789,-59.75979622287255,-60.86570926193276,-60.9142444111909,-62.78465416373762,-62.771217800221116,-59.90551645020534,-61.59264004441895,-62.29401684315147,-63.16843696272993,-65.71957071788715,-68.77378537903869,-70.74623484592057,-69.92625461411915,-64.85214231421594,-65.16213570733294,-69.72048040962672,-73.15538713796639,-76.00494697615491,-77.48969987389853,-78.10575405026619,-77.98649497786664,-78.55560464587998,-78.8761309491146,-79.06062810016911,-79.62660020526516,-80.55555704959625,-81.12464820798137,-82.26921441765869,3.502490254734256,3.607247869773959,3.686862205374765,3.59420236011294,2.910381842396612,3.5412279648672547,3.124731917371642,3.0741014816899708,3.0377926102159005,2.9624697750263422,3.7310902362099694,2.993764410696988,3.4525097956916566,3.2992804433092697,2.9659448092228513,3.177856487209888,3.0614560005394225,3.1342869515324456,3.2254077313273624,2.8487103969933476,3.0289905254130063,2.947076527848404,2.997866992953427,2.7506251281229464,2.869353808974649,3.134178551193704,2.767377200167113,2.722765351255385,2.8132583318281377,2.694519125923986,2.5923257767251204,2.7473534245207523,2.424518892807632,2.40957807900423,2.4703704873142116,2.5042292024620636,2.404134758947289,2.3311996471413505,2.383092556005119,2.194371159181607,2.194164757306457,2.442544464742229,2.183070758179291,2.195826791790095,2.361232274728828,2.6083537847258547,3.2364417204447014,3.652995925686447,3.1942794620042814,2.4240338760200824,2.4198674366023467,2.502865252488731,2.5924195901777383,2.353587769527086,2.2318988301276446,2.355015532080441,2.221693377079288,2.565141004686625,2.8596922319261946,2.9964886965593642,3.5317483095199855,4.416624030299748,4.936035477257322,6.086592556378866,1.0
2025-06-06 14:00:00,112500,-30.323805171867477,-26.316223343431684,-27.413601549251343,-28.597801008605956,-32.0880231765408,-31.961837279925877,-35.71819176276313,-38.727974396218194,-41.4949778451199,-42.588038682318796,-42.47829397655911,-44.36719395421346,-41.21114825281779,-42.91811660251194,-44.99376755093045,-45.437660866427954,-47.366634708743625,-47.58892018829346,-49.810608287794324,-52.259141890394424,-52.418924704403345,-51.962640046166314,-51.56503411224365,-51.98931982813517,-51.06800637396918,-50.049679293399386,-52.78914188720703,-55.840726953260635,-55.95820281921387,-54.59889335215251,-55.47895508110894,-56.499381562228734,-59.52249716342502,-61.354238783976236,-60.08015264719645,-59.20748841596815,-60.247344886203344,-61.33987640797933,-61.46670542256673,-63.37289840274387,-63.36607843531291,-60.41333783893585,-61.82849722752889,-62.128383154992,-61.67582476725261,-60.6779262004598,-58.92478370646159,-57.24180417494032,-56.96275534852769,-55.94025805323283,-57.629643641696504,-61.503384522959394,-64.67555894058228,-67.54442092673408,-70.3281340588718,-72.87317846157498,-74.62073136510213,-75.55390404079861,-75.82524275699191,-75.78474472151015,-75.55676499749077,-75.68821136335585,-76.24522024542914,-77.19710362209744,3.571592061110009,3.7727010073993394,3.324050209747387,3.2700348843272096,3.2353051481266464,4.058800096878725,3.4288967853964807,3.5651875631565857,3.5495045331247295,3.495099263917027,3.9874059918138687,3.512860649104049,3.7659540716130526,3.64847871944408,3.2282649439192244,3.4756381384286756,3.3758095332620965,3.4977921520011805,3.500779338787688,3.4388761806910693,3.565933488052697,3.5795987245716416,3.7228036940826086,3.5835157772467143,3.28137568506185,3.3316188784048117,3.0112004235229115,3.013313816496455,3.0268392651584963,2.8994897356716427,2.889580609113144,3.0294138576075746,3.022189102103801,3.186073768215783,2.9058900757490362,2.754600284447247,2.760958331528164,2.7438424793978564,2.7831916558663883,2.719995109636831,2.7727095626288363,2.9661387060877127,2.807345900471869,3.167057447652056,4.293436818102952,6.368962704415123,8.91970717712843,10.295589208580774,10.518663467703039,8.340303886543117,7.826667300247292,8.900553872991605,9.449301695111542,9.206889904942072,8.307832800540606,6.800085683905892,5.204969714113555,4.273344024149501,3.9385930795494533,4.15153922411201,4.6196259384403815,4.892553580005219,4.561880423413385,4.1234338724840995,1.0
2025-06-06 15:00:00,112500,-30.616333865085178,-27.11715983997769,-29.299207199588352,-30.565183032209607,-34.513042895083956,-34.66566633821275,-37.497532502627905,-39.85374599346585,-43.73734499935574,-45.412895153011746,-45.36994047032674,-46.54901419360691,-43.994446254993015,-46.07514231152852,-46.43942307470534,-47.15770450242784,-48.759923039194746,-49.032604602322046,-51.35784553015815,-53.82384850980971,-53.40043500613742,-53.27895964270698,-52.390712133043074,-53.281091290571425,-51.855969028523766,-50.54333769643148,-53.761951566229925,-56.679680692647295,-56.52865112067329,-55.377402923312715,-56.6954669269477,-57.880369552578394,-60.97155562025282,-62.74423346944173,-61.241851267869734,-59.9273270231798,-61.045151642456055,-61.99324496198866,-62.2289109894477,-64.29189891696507,-64.39049029608833,-61.03405588772244,-62.28742597579956,-62.7868682734002,-62.41549241867065,-62.39423064253065,-62.24850047307332,-61.965493494364424,-61.86962732503255,-59.50972938115438,-60.62580154284159,-64.66406116385566,-67.6664689267646,-70.32121309476217,-73.12487336288451,-75.64385821816339,-77.38830365366618,-79.03914889302571,-79.87923328140259,-80.36296843248155,-80.81073509114583,-82.05807876853095,-83.16971444112141,-85.96433424285888,3.3129126848957853,3.4252429939837654,3.002202698676046,3.1112360044653795,2.8449742133159006,3.646200433715739,2.9153796602141417,3.073648433335313,3.0194418157582668,2.9338537280296912,3.696525963991519,2.950247520882858,3.3210846984017413,2.9761650143100775,3.0456010223404606,3.279685870095856,3.2214211777764494,3.409896715121936,3.3468162718780112,3.026380976528298,3.249888177721629,3.1264690807847098,3.1324878531411953,2.9759650435201146,3.0239438311212776,3.1870253948955174,2.7356469305944646,2.698232084233915,2.8722790172705683,2.7968678477927273,2.7497690392816554,2.8897675803955045,2.7348836249647017,2.795815067383943,2.676418138251529,2.7452421249406185,2.661699284616805,2.622119379523608,2.6438131229711725,2.6044241785874824,2.672611635170072,2.8406216208722306,3.029266219319634,3.7327965219041315,4.840910177235431,6.621327845472465,8.62440878048098,9.611257722240444,9.981364271321366,8.129837224465922,8.122932545642062,9.411257352514923,9.957380140719183,10.04362169111155,9.751959767398176,8.606068932261561,6.911659443801305,5.4470731511079675,4.663780003345111,4.673348272154776,5.0134487330889215,5.311393580248859,5.009284179797193,4.1055554020830005,1.0
2025-06-06 16:00:00,112501,-29.098548297531302,-26.25897889847601,-28.91698490859674,-29.313112872221847,-33.82995847306857,-33.916102543681326,-36.43380984928897,-39.332755396412125,-43.60799161348628,-44.949208325186255,-44.324393342343875,-45.38161496529224,-43.18771027972332,-45.33928941492091,-46.73137731827882,-47.73177919711555,-48.98269887766131,-49.114625989277634,-51.52096572560495,-53.922604666111326,-53.57238383907779,-53.07336967682154,-52.697325046519744,-53.11383373417052,-51.92791871947141,-50.6733826272849,-53.840858734026696,-56.844181766995405,-56.812557640105865,-55.967466571026044,-57.1924969741507,-58.73632771271119,-61.639863445117086,-63.100012076837636,-61.80270678470976,-60.52685762693394,-61.389448190358266,-62.17054994124879,-62.846371997431746,-65.1177017417126,-65.2073577415267,-62.15516649756652,-63.48499462278814,-64.05526094715286,-63.275829462194196,-63.12695556251902,-62.63662697977895,-61.644357169973894,-60.992723550312554,-58.55875381384244,-59.50737422102669,-63.16493130690672,-65.6299386103269,-67.90391684836906,-70.45048370236377,-73.49433113188205,-76.13669562113658,-77.87194871084856,-78.48044536370614,-78.74585046277453,-78.70914228931355,-79.09105985206455,-79.55258663556346,-80.91277316084094,3.98061583198801,4.060063875415016,3.1702776826855517,3.716550525292904,3.6800089424339775,4.023833873342477,3.3412722861466864,3.373722481324227,3.407757074871974,3.862430067812191,4.657233005860564,3.5381289329494745,3.6669033271443263,3.354137261787277,3.111102726437335,3.2783359795256044,3.351256849046259,3.5564095005773075,3.4757105262510946,3.3249200491474125,3.3706076467899453,3.383382878830294,3.386740861170259,3.305173285225652,3.188613410609893,3.242598723310836,2.8865826865856596,2.844917323378303,3.030487859169284,2.9146001485075828,2.924925922497538,2.9761928823195487,2.983051839225803,3.2724957723859878,3.1758032839631434,2.9874212093030006,2.767735713079491,2.747675534307897,2.7890156651769162,3.023051819895171,3.1134786216496404,3.0828380422462445,3.383746329685336,4.139675996099105,5.150542908594924,6.696500301912414,8.37403240427522,9.369951046943966,10.015625759886206,8.712530716600511,9.10933153236987,10.655603030631225,11.419050508141204,11.715705258595998,11.45367646426411,10.11827548781367,7.730563851414437,5.494493541306581,4.431360782683383,4.367585009518943,4.609667827536549,4.552496725134829,4.239669362995792,3.863251582894218,1.0
2025-06-06 17:00:00,112500,-29.367458164638943,-26.195495872650145,-27.913965057432385,-28.263873298127915,-33.30128091934204,-33.614816053144665,-36.410572511927285,-39.064703268737794,-43.224329660424125,-44.77584132205539,-44.64694995552911,-45.725295386301674,-43.45683505333795,-45.02090600904677,-45.93592869593302,-46.461499840698245,-48.134711424653794,-48.27992432793511,-50.614793723890514,-52.85453849843343,-52.540644837459986,-52.56039896643745,-52.07176775636461,-52.76112277350531,-51.33128567725288,-50.1264376671346,-53.2266045173645,-56.05000859642877,-55.64282269161648,-54.084448402116564,-55.50397624742296,-56.85077496358236,-59.8960332786221,-61.703063738979765,-60.193271406758626,-59.32457609659831,-60.5880024838935,-61.5982573369005,-61.612167872958715,-63.32108339921739,-63.440154585266114,-59.94754811659071,-61.193493597242565,-62.29578161005656,-62.5844089469401,-62.917059614062836,-63.182893107825386,-63.254036650509306,-63.39533056958516,-60.92148759998745,-62.041373052622475,-65.80471401268854,-68.36604563134088,-71.06557052021451,-73.80391433991326,-76.22471209515042,-77.50499574027167,-78.32291524997288,-78.61730567949083,-78.77180332095676,-78.9859224154663,-79.70867844743516,-80.36368815361871,-81.90343064622667,3.7463341021176197,3.725796349105937,3.346417969556916,3.8423486590451956,3.0808478022546604,4.282504067467913,3.3017220252449584,3.269110658450791,3.4694127606760823,3.655875173315096,4.156369726884629,3.6055979762904755,3.598265091679163,3.5495196621156304,3.4437725863418565,3.7141689539686653,3.775833637090357,3.861023714762209,3.71761423599626,3.5223935594024844,3.6481058214242923,3.6221749086381,3.6168356775524932,3.554953306465896,3.449233898164671,3.5497796338410703,3.1485853290637844,3.1464587441244194,3.312416096436161,3.17320493096411,3.125726477912769,3.3457271939799944,3.4504157588579902,3.651256790902034,3.2905560370892544,3.069485484633404,3.0174780679924456,2.9513362368649814,2.978620086578009,3.136311757196907,3.1330022126542483,3.075154282798581,3.243084768127067,3.9700678893279617,4.929207245212566,6.2818084910987615,7.706300645366447,8.298875332027311,8.499378440515121,6.651084816685427,7.043413082750009,8.521232255362833,9.105737197927072,9.262526356564717,8.767782251412354,7.418885033472244,5.9882987706126665,5.112134745232324,4.735253964401821,4.882089239540809,4.999217980665617,4.992362972396426,4.692540228514189,4.615461142618234,1.0
2025-06-06 18:00:00,112500,-29.240245185512965,-26.546329046969944,-29.42448047692193,-29.9654307228597,-35.65326842424181,-34.90946458363851,-38.28109886216905,-41.61025016855876,-45.262213867221405,-47.32967483832465,-45.77633103822496,-47.66231636903551,-45.17546852914598,-46.49539506861369,-48.22580761483934,-49.277256343926325,-49.4721725354343,-50.33917578080919,-53.21981454932319,-55.79542288294474,-55.22608249279446,-54.354312841746015,-54.21241616390652,-55.10954083134969,-53.178099476148816,-51.6337014189148,-54.852094123653835,-58.21991922566732,-57.87552105229695,-56.64314126705594,-58.07783865824381,-60.416151982794865,-63.699471693047414,-65.2604921359592,-63.21863653666178,-61.71725706753201,-62.876223344217934,-64.05430303466797,-64.75731287587483,-67.25479755374485,-67.47054255825466,-63.53426170947605,-65.03541430830214,-66.32951728224013,-66.43993862621731,-68.11137422214084,-71.03743318952772,-71.83186661148919,-71.46753601991442,-65.05599012673272,-66.39181711688572,-71.74015277306451,-74.71035108374701,-77.29219925435385,-79.57532504765828,-81.17537486984253,-81.65157635615031,-82.38339447413126,-82.81815436806573,-83.23581296495226,-84.07120792410956,-85.7245537882487,-86.42102626498752,-88.19959742685954,3.5191834115040366,3.554726741333275,3.120768329043102,3.606410771617993,3.0925645198258316,4.208871750832405,3.457939509511498,3.575064848727977,3.171369342449367,2.986022255282667,3.723688180824039,2.97373471001765,3.3377500496471857,3.1451012985482665,3.050783958439643,3.1510623433049987,2.9982985684847416,3.0600071362562042,3.1974707996933454,2.923626371383955,3.083127772937488,3.0251476115805604,2.9723947175248604,2.879792703798714,2.98766665260705,3.2245971762504815,2.897140084300241,2.94007438257702,3.0538557207107075,2.8015197510375933,2.910990048621311,2.9176449341636275,2.748389687053836,2.840922504293951,2.7343530755605623,2.6973042798556333,2.5879167500615474,2.698779050175179,2.813219766030598,2.728688357826289,2.7245233075361526,2.904337769143261,3.0047836073032244,3.845587017627452,4.742322914251548,5.951911500443052,7.353059342056756,7.450815000635207,6.684341276003842,4.293854101105048,3.927349040753168,4.917851378624701,5.317063662568201,5.367252016293663,5.274877048510105,4.722484396611571,4.17745373863063,3.8217475358357587,3.8907892412269796,4.20606354268649,4.42005814699087,4.364714503619348,4.055344677247915,3.230843595624712,1.0
