timestamp,ts_source,session_folder,folder_date_hint,folder_matches_exif,t_mean_c,t_p10_c,t_p90_c,t_max_c,hotspot_frac,t_spatial_std_c,bird_frac,ambient_est_c,otsu_thr_c,mask_ok,frame_min_c,frame_max_c,frame_mean_c,n_pixels,make,model,source_path
2025-06-06 11:07:11,exif,6 June,2025-06-06,True,34.60414448636886,33.709070151544495,35.29107956017799,35.91789171339275,0.8142493638676844,0.5701845507143118,0.10234375,32.32014354184918,33.42611693812004,True,29.633218388567002,35.91789171339275,32.5115509211073,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0560 (1).jpg
2025-06-06 11:07:11,exif,6 June,2025-06-06,True,34.60414448636886,33.709070151544495,35.29107956017799,35.91789171339275,0.8142493638676844,0.5701845507143118,0.10234375,32.32014354184918,33.42611693812004,True,29.633218388567002,35.91789171339275,32.5115509211073,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0560.jpg
2025-06-06 11:07:15,exif,6 June,2025-06-06,True,34.553157965032064,33.706041864270844,35.204259947571984,35.87323664719912,0.8139656070870245,0.5573751095628297,0.09994791666666666,32.09110829008853,33.30836019278711,True,30.036717782048242,35.87323664719912,32.31518690109153,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0562.jpg
2025-06-06 11:07:15,exif,6 June,2025-06-06,True,34.553157965032064,33.706041864270844,35.204259947571984,35.87323664719912,0.8139656070870245,0.5573751095628297,0.09994791666666666,32.09110829008853,33.30836019278711,True,30.036717782048242,35.87323664719912,32.31518690109153,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0562 (1).jpg
2025-06-06 11:08:20,exif,6 June,2025-06-06,True,32.21975632209934,31.422469894154915,32.843741804649824,33.90877152302113,0.0,0.5285699984086993,0.25046875,29.774296215858215,31.000425278368628,True,28.02310639550302,33.90877152302113,30.415355079538543,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0564 (1).jpg
2025-06-06 11:08:20,exif,6 June,2025-06-06,True,32.21975632209934,31.422469894154915,32.843741804649824,33.90877152302113,0.0,0.5285699984086993,0.25046875,29.774296215858215,31.000425278368628,True,28.02310639550302,33.90877152302113,30.415355079538543,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0564.jpg
2025-06-06 11:08:23,exif,6 June,2025-06-06,True,32.067370125424375,31.18361982607479,32.70433567514573,33.47308823082119,0.0,0.5592304995637615,0.22645833333333334,29.70807391262133,30.882875818685807,True,27.732011369291683,33.47308823082119,30.247176861838167,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0566 (1).jpg
2025-06-06 11:08:23,exif,6 June,2025-06-06,True,32.067370125424375,31.18361982607479,32.70433567514573,33.47308823082119,0.0,0.5592304995637615,0.22645833333333334,29.70807391262133,30.882875818685807,True,27.732011369291683,33.47308823082119,30.247176861838167,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0566.jpg
2025-06-06 11:08:27,exif,6 June,2025-06-06,True,32.12871158171607,31.249341937013583,32.84410531305855,33.505587704926654,0.0,0.5825682258842524,0.20088541666666668,29.88457597572517,30.996643568363524,True,27.530799807622827,33.505587704926654,30.327861559657656,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0568 (1).jpg
2025-06-06 11:08:27,exif,6 June,2025-06-06,True,32.12871158171607,31.249341937013583,32.84410531305855,33.505587704926654,0.0,0.5825682258842524,0.20088541666666668,29.88457597572517,30.996643568363524,True,27.530799807622827,33.505587704926654,30.327861559657656,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0568.jpg
2025-06-06 11:09:09,exif,6 June,2025-06-06,True,33.4786442242967,32.67230662351483,34.52188923167972,35.32052993027929,0.3270637408568443,0.742820723306975,0.24921875,31.822554464448046,32.598576287457334,True,28.246213863655726,35.32052993027929,32.16801706176361,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0570 (1).jpg
2025-06-06 11:09:09,exif,6 June,2025-06-06,True,33.4786442242967,32.67230662351483,34.52188923167972,35.32052993027929,0.3270637408568443,0.742820723306975,0.24921875,31.822554464448046,32.598576287457334,True,28.246213863655726,35.32052993027929,32.16801706176361,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0570.jpg
2025-06-06 11:09:14,exif,6 June,2025-06-06,True,34.13593056339974,33.26592850747653,34.780361186549726,35.59812845993031,0.6428810720268007,0.5455747858756833,0.15546875,31.925502050549255,33.00838988811769,True,28.35252108961305,35.59812845993031,32.23356537951519,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0572.jpg
2025-06-06 11:09:14,exif,6 June,2025-06-06,True,34.13593056339974,33.26592850747653,34.780361186549726,35.59812845993031,0.6428810720268007,0.5455747858756833,0.15546875,31.925502050549255,33.00838988811769,True,28.35252108961305,35.59812845993031,32.23356537951519,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0572 (1).jpg
2025-06-06 11:09:17,exif,6 June,2025-06-06,True,33.97960532856621,33.03257846978431,34.676504614154965,35.66218775938842,0.5603571428571429,0.6003269370059907,0.14583333333333334,31.775822704337088,32.84843571439485,True,28.565433833099235,35.66218775938842,32.06366653542597,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0574 (1).jpg
2025-06-06 11:09:17,exif,6 June,2025-06-06,True,33.97960532856621,33.03257846978431,34.676504614154965,35.66218775938842,0.5603571428571429,0.6003269370059907,0.14583333333333334,31.775822704337088,32.84843571439485,True,28.565433833099235,35.66218775938842,32.06366653542597,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0574.jpg
2025-06-06 11:09:22,exif,6 June,2025-06-06,True,33.955296871655314,33.016199829087725,34.723534111621575,35.75056283419508,0.509592795614722,0.620154406104601,0.2660416666666667,31.726848463543945,32.79827006328052,True,28.448273468454715,35.75056283419508,32.264163082863845,19200,Teledyne FLIR,FLIR Cx5,data/raw_room2/thermal/Thermal_Imaging_Data/June 2025/6 June/FLIR0576 (1).jpg
