[scan] probing metadata for 22 folder(s) (ffprobe)...
  [72/1451] videos  (2.2/min, ETA ~626 min, records 108256)
  [73/1451] videos  (2.2/min, ETA ~620 min, records 109760)
  [74/1451] videos  (2.2/min, ETA ~629 min, records 111264)
  [75/1451] videos  (2.2/min, ETA ~622 min, records 112768)
  [76/1451] videos  (2.2/min, ETA ~617 min, records 114272)
  [77/1451] videos  (2.2/min, ETA ~611 min, records 115776)
  [78/1451] videos  (2.2/min, ETA ~618 min, records 117280)
  [79/1451] videos  (2.2/min, ETA ~610 min, records 118784)
  [80/1451] videos  (2.2/min, ETA ~615 min, records 120287)
  [81/1451] videos  (2.2/min, ETA ~623 min, records 121790)
  [82/1451] videos  (2.2/min, ETA ~625 min, records 123293)
  [83/1451] videos  (2.2/min, ETA ~619 min, records 124796)
  [84/1451] videos  (2.2/min, ETA ~622 min, records 126299)
  [85/1451] videos  (2.2/min, ETA ~628 min, records 127802)
  [86/1451] videos  (2.2/min, ETA ~631 min, records 129305)
  [87/1451] videos  (2.2/min, ETA ~624 min, records 130808)
  [88/1451] videos  (2.2/min, ETA ~621 min, records 131073)
  [89/1451] videos  (2.2/min, ETA ~619 min, records 132576)
  [90/1451] videos  (2.2/min, ETA ~624 min, records 134079)
  [91/1451] videos  (2.1/min, ETA ~634 min, records 135583)
  [92/1451] videos  (2.2/min, ETA ~627 min, records 137087)
  [93/1451] videos  (2.2/min, ETA ~620 min, records 138591)
  [94/1451] videos  (2.2/min, ETA ~630 min, records 140095)
  [95/1451] videos  (2.2/min, ETA ~624 min, records 141599)
  [96/1451] videos  (2.2/min, ETA ~617 min, records 143103)
  [97/1451] videos  (2.2/min, ETA ~616 min, records 144606)
  [98/1451] videos  (2.2/min, ETA ~621 min, records 146110)
  [99/1451] videos  (2.2/min, ETA ~614 min, records 147614)
  [100/1451] videos  (2.2/min, ETA ~608 min, records 149118)
  [101/1451] videos  (2.2/min, ETA ~608 min, records 150622)
  [102/1451] videos  (2.2/min, ETA ~613 min, records 152126)
  [103/1451] videos  (2.2/min, ETA ~607 min, records 153630)
  [104/1451] videos  (2.2/min, ETA ~601 min, records 155134)
  [105/1451] videos  (2.2/min, ETA ~601 min, records 156638)
  [106/1451] videos  (2.2/min, ETA ~604 min, records 158142)
  [107/1451] videos  (2.2/min, ETA ~598 min, records 159646)
  [108/1451] videos  (2.2/min, ETA ~597 min, records 161149)
  [109/1451] videos  (2.2/min, ETA ~607 min, records 162652)
  [110/1451] videos  (2.2/min, ETA ~608 min, records 164155)
  [111/1451] videos  (2.2/min, ETA ~603 min, records 165658)
  [112/1451] videos  (2.2/min, ETA ~602 min, records 167161)
  [113/1451] videos  (2.2/min, ETA ~611 min, records 168664)
  [114/1451] videos  (2.2/min, ETA ~612 min, records 170167)
  [115/1451] videos  (2.2/min, ETA ~607 min, records 171670)
  [116/1451] videos  (2.2/min, ETA ~605 min, records 173173)
  [117/1451] videos  (2.2/min, ETA ~615 min, records 174676)
  [118/1451] videos  (2.2/min, ETA ~616 min, records 176179)
  [119/1451] videos  (2.2/min, ETA ~611 min, records 177682)
  [120/1451] videos  (2.2/min, ETA ~606 min, records 179185)
  [121/1451] videos  (2.2/min, ETA ~606 min, records 180689)
  [122/1451] videos  (2.2/min, ETA ~609 min, records 182193)
  [123/1451] videos  (2.2/min, ETA ~604 min, records 183697)
  [124/1451] videos  (2.2/min, ETA ~600 min, records 185201)
  [125/1451] videos  (2.2/min, ETA ~599 min, records 186705)
  [126/1451] videos  (2.2/min, ETA ~603 min, records 188209)
  [127/1451] videos  (2.2/min, ETA ~598 min, records 189713)
  [128/1451] videos  (2.2/min, ETA ~593 min, records 191217)
  [129/1451] videos  (2.2/min, ETA ~589 min, records 191430)
  [130/1451] videos  (2.3/min, ETA ~586 min, records 192934)
  [131/1451] videos  (2.2/min, ETA ~591 min, records 194438)
  [132/1451] videos  (2.2/min, ETA ~597 min, records 195941)
  [133/1451] videos  (2.2/min, ETA ~595 min, records 197444)
  [134/1451] videos  (2.2/min, ETA ~590 min, records 198947)
  [135/1451] videos  (2.2/min, ETA ~594 min, records 200450)
  [136/1451] videos  (2.2/min, ETA ~599 min, records 201953)
  [137/1451] videos  (2.2/min, ETA ~598 min, records 203456)
  [138/1451] videos  (2.2/min, ETA ~593 min, records 204959)
  [139/1451] videos  (2.2/min, ETA ~597 min, records 206462)
  [140/1451] videos  (2.2/min, ETA ~602 min, records 207965)
  [141/1451] videos  (2.2/min, ETA ~601 min, records 209468)
  [142/1451] videos  (2.2/min, ETA ~596 min, records 210971)
  [143/1451] videos  (2.2/min, ETA ~602 min, records 212474)
  [144/1451] videos  (2.2/min, ETA ~598 min, records 213977)
  [145/1451] videos  (2.2/min, ETA ~593 min, records 215481)
  [146/1451] videos  (2.2/min, ETA ~589 min, records 216985)
  [147/1451] videos  (2.2/min, ETA ~596 min, records 218489)
  [148/1451] videos  (2.2/min, ETA ~592 min, records 219993)
  [149/1451] videos  (2.2/min, ETA ~588 min, records 221497)
  [150/1451] videos  (2.2/min, ETA ~584 min, records 223001)
  [151/1451] videos  (2.2/min, ETA ~590 min, records 224505)
  [152/1451] videos  (2.2/min, ETA ~586 min, records 226009)
  [153/1451] videos  (2.2/min, ETA ~582 min, records 227513)
  [154/1451] videos  (2.2/min, ETA ~578 min, records 229017)
  [155/1451] videos  (2.2/min, ETA ~585 min, records 230521)
  [156/1451] videos  (2.2/min, ETA ~581 min, records 232025)
  [157/1451] videos  (2.2/min, ETA ~577 min, records 233529)
  [158/1451] videos  (2.3/min, ETA ~573 min, records 235033)
  [159/1451] videos  (2.2/min, ETA ~577 min, records 236537)
  [160/1451] videos  (2.2/min, ETA ~574 min, records 238040)
  [161/1451] videos  (2.2/min, ETA ~581 min, records 239543)
  [162/1451] videos  (2.2/min, ETA ~577 min, records 241046)
  [163/1451] videos  (2.2/min, ETA ~579 min, records 242549)
  [164/1451] videos  (2.2/min, ETA ~576 min, records 244052)
  [165/1451] videos  (2.2/min, ETA ~583 min, records 245555)
  [166/1451] videos  (2.2/min, ETA ~579 min, records 247058)
  [167/1451] videos  (2.2/min, ETA ~575 min, records 247089)
  [168/1451] videos  (2.2/min, ETA ~577 min, records 248592)
  [169/1451] videos  (2.2/min, ETA ~574 min, records 250095)
  [170/1451] videos  (2.2/min, ETA ~579 min, records 251598)
  [171/1451] videos  (2.2/min, ETA ~583 min, records 253102)
  [172/1451] videos  (2.2/min, ETA ~579 min, records 254606)
  [173/1451] videos  (2.2/min, ETA ~583 min, records 256110)
  [174/1451] videos  (2.2/min, ETA ~580 min, records 257614)
  [175/1451] videos  (2.2/min, ETA ~579 min, records 259117)
  [176/1451] videos  (2.2/min, ETA ~576 min, records 260620)
  [177/1451] videos  (2.2/min, ETA ~577 min, records 262124)
  [178/1451] videos  (2.2/min, ETA ~574 min, records 263628)
  [179/1451] videos  (2.2/min, ETA ~574 min, records 265132)
  [180/1451] videos  (2.2/min, ETA ~571 min, records 266636)
  [181/1451] videos  (2.2/min, ETA ~572 min, records 268140)
  [182/1451] videos  (2.2/min, ETA ~569 min, records 269644)
  [183/1451] videos  (2.2/min, ETA ~569 min, records 271148)
  [184/1451] videos  (2.2/min, ETA ~567 min, records 272652)
  [185/1451] videos  (2.2/min, ETA ~567 min, records 274156)
  [186/1451] videos  (2.2/min, ETA ~564 min, records 275660)
  [187/1451] videos  (2.2/min, ETA ~564 min, records 277164)
  [188/1451] videos  (2.2/min, ETA ~561 min, records 278668)
  [189/1451] videos  (2.2/min, ETA ~564 min, records 280171)
  [190/1451] videos  (2.2/min, ETA ~567 min, records 281674)
  [191/1451] videos  (2.2/min, ETA ~566 min, records 283177)
  [192/1451] videos  (2.2/min, ETA ~563 min, records 284680)
  [193/1451] videos  (2.2/min, ETA ~566 min, records 286183)
  [194/1451] videos  (2.2/min, ETA ~568 min, records 287686)
  [195/1451] videos  (2.2/min, ETA ~568 min, records 289189)
  [196/1451] videos  (2.2/min, ETA ~565 min, records 290692)
  [197/1451] videos  (2.2/min, ETA ~567 min, records 292195)
  [198/1451] videos  (2.2/min, ETA ~570 min, records 293698)
  [199/1451] videos  (2.2/min, ETA ~570 min, records 295201)
  [200/1451] videos  (2.2/min, ETA ~566 min, records 296704)
  [201/1451] videos  (2.2/min, ETA ~567 min, records 298207)
  [202/1451] videos  (2.2/min, ETA ~564 min, records 299711)
  [203/1451] videos  (2.2/min, ETA ~565 min, records 301215)
  [204/1451] videos  (2.2/min, ETA ~562 min, records 302719)
  [205/1451] videos  (2.2/min, ETA ~562 min, records 304223)
  [206/1451] videos  (2.2/min, ETA ~560 min, records 305727)
  [207/1451] videos  (2.2/min, ETA ~561 min, records 307231)
  [208/1451] videos  (2.2/min, ETA ~558 min, records 308735)
  [209/1451] videos  (2.2/min, ETA ~558 min, records 310239)
  [210/1451] videos  (2.2/min, ETA ~555 min, records 311743)
  [211/1451] videos  (2.2/min, ETA ~556 min, records 313247)
  [212/1451] videos  (2.2/min, ETA ~553 min, records 314751)
  [213/1451] videos  (2.2/min, ETA ~554 min, records 316255)
  [214/1451] videos  (2.2/min, ETA ~551 min, records 317759)
  [215/1451] videos  (2.2/min, ETA ~552 min, records 319263)
  [216/1451] videos  (2.2/min, ETA ~549 min, records 320767)
  [217/1451] videos  (2.3/min, ETA ~548 min, records 322271)
  [218/1451] videos  (2.2/min, ETA ~551 min, records 323774)
  [219/1451] videos  (2.2/min, ETA ~554 min, records 325277)
  [220/1451] videos  (2.2/min, ETA ~551 min, records 326780)
  [221/1451] videos  (2.2/min, ETA ~548 min, records 326815)
